gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Urban,Bachelor,1.13,1,6,5900.0,More than 1,A,Platinum,178920
Male,Urban,High School,6.23,1,4,2840.0,1,A,Platinum,31980
Female,Rural,Bachelor,7.34,0,3,3765.0,1,C,Platinum,35652
Male,Urban,Bachelor,3.63,0,6,9770.0,More than 1,B,Silver,65388
Male,Urban,Bachelor,6.9,1,8,3492.0,More than 1,C,Silver,68544
Male,Urban,High School,2.34,1,4,2045.0,More than 1,C,Platinum,66120
Male,Urban,Others,5.03,0,6,4704.0,1,A,Gold,73728
Male,Urban,Bachelor,3.56,0,7,8118.0,More than 1,B,Gold,561060
Male,Rural,Bachelor,5.47,1,5,4275.0,More than 1,B,Silver,68904
Female,Rural,Bachelor,11.33,1,3,0.0,More than 1,A,Silver,69936
Female,Rural,Bachelor,25.42,1,6,0.0,1,A,Platinum,32100
Male,Rural,Bachelor,9.07,1,7,3739.0,More than 1,B,Silver,30276
Male,Urban,Bachelor,9.88,0,5,6278.0,More than 1,A,Platinum,157932
Female,Rural,High School,6.49,1,6,3869.0,1,A,Gold,33684
Female,Urban,High School,6.46,1,2,2777.0,1,A,Platinum,37824
Male,Urban,High School,2.43,0,1,17723.0,More than 1,A,Gold,33300
Male,Rural,High School,7.32,0,1,2438.0,1,A,Platinum,49620
Male,,High School,8.0,1,0,5365.0,1,,Platinum,155988
Male,Urban,High School,6.14,0,1,5102.0,More than 1,A,Gold,61956
Male,Rural,High School,7.6,1,3,2772.0,More than 1,A,Platinum,46392
Male,Urban,High School,5.48,0,2,4485.0,More than 1,,Silver,64860
Female,Urban,Bachelor,9.87,0,2,6660.0,More than 1,A,Silver,71592
Male,Urban,High School,25.73,0,2,3651.0,More than 1,A,Gold,103512
Female,Rural,High School,52.2,1,6,,More than 1,B,Platinum,71028
Female,Rural,High School,30.87,1,6,0.0,More than 1,A,Platinum,69252
Male,Urban,High School,,0,1,6358.0,More than 1,A,Platinum,65688
Male,Urban,High School,6.4,0,3,3170.0,More than 1,B,Platinum,105648
Male,Urban,High School,7.54,1,6,4109.0,More than 1,,Platinum,269856
Female,Urban,High School,68.48,1,5,0.0,1,A,Silver,29652
Female,Urban,High School,9.84,0,3,6701.0,More than 1,C,Gold,89496
Female,Urban,High School,28.85,0,6,3962.0,More than 1,C,Platinum,96924
Male,Urban,Others,,1,2,0.0,More than 1,A,Platinum,61500
Female,Rural,High School,,0,6,0.0,1,,Gold,40020
Male,Rural,High School,42.44,1,3,3020.0,More than 1,B,Platinum,66960
Male,Urban,Bachelor,3.13,1,7,3832.0,More than 1,B,Platinum,69900
Female,Urban,High School,,1,2,2589.0,More than 1,A,Platinum,303264
Male,Rural,Bachelor,9.95,1,6,2947.0,1,C,Gold,71196
Male,Rural,Bachelor,9.6,0,2,5205.0,More than 1,C,Platinum,65436
Male,Urban,Bachelor,,1,6,6265.0,1,,Platinum,378048
Male,Urban,Bachelor,7.09,1,7,,More than 1,A,Silver,149256
Female,Urban,Bachelor,7.65,1,5,3996.0,More than 1,B,Platinum,99624
Female,Urban,High School,77.46,0,1,0.0,More than 1,C,Platinum,178932
Male,Rural,High School,29.24,1,1,0.0,More than 1,A,Platinum,130488
Male,Urban,Bachelor,16.44,1,7,0.0,More than 1,A,Platinum,103800
Male,Urban,Bachelor,2.86,1,2,6630.0,1,C,Silver,30756
Male,Urban,High School,6.22,0,5,17378.0,More than 1,A,Platinum,374112
Female,,Bachelor,8.59,1,2,3795.0,More than 1,B,Platinum,48156
Male,Urban,High School,69.11,1,7,6387.0,More than 1,A,Platinum,62544
Female,Urban,High School,4.95,0,7,7012.0,More than 1,,Silver,250032
Female,Rural,Bachelor,6.05,1,5,3665.0,More than 1,A,Platinum,99312
Female,Rural,High School,30.42,1,0,6078.0,1,A,Platinum,56292
Female,Urban,Bachelor,4.14,0,1,10882.0,More than 1,A,Platinum,164940
Female,Rural,Bachelor,20.33,0,0,0.0,More than 1,B,Platinum,66144
Female,Rural,High School,6.79,1,0,3946.0,More than 1,A,Platinum,72876
Male,Rural,High School,5.01,0,4,0.0,More than 1,B,Platinum,146244
Male,,Bachelor,6.97,1,6,3083.0,More than 1,A,Platinum,59604
Male,Urban,High School,6.85,1,1,6279.0,More than 1,B,Platinum,95328
Male,Rural,Bachelor,9.54,1,2,2380.0,1,B,Silver,35604
Female,Rural,Bachelor,57.54,0,0,0.0,More than 1,B,Silver,179088
Female,,High School,9.65,1,3,16501.0,More than 1,B,Gold,85596
Female,Urban,High School,85.24,1,7,6552.0,More than 1,B,Gold,67800
Male,Urban,High School,2.27,1,2,7891.0,More than 1,A,Platinum,398304
Male,Rural,Bachelor,8.36,1,7,8410.0,1,A,Gold,102792
Female,Rural,Bachelor,7.85,0,6,,More than 1,B,Platinum,69768
Female,Urban,High School,8.84,1,5,6841.0,1,B,Gold,32664
Male,Urban,High School,9.91,0,5,9743.0,More than 1,A,Gold,95604
Male,Urban,High School,,1,5,9147.0,More than 1,A,Platinum,66108
Female,Urban,High School,9.19,0,1,5896.0,More than 1,C,Platinum,70668
Female,Urban,High School,9.32,0,4,,1,A,Silver,47364
Male,Rural,Bachelor,7.2,0,5,2406.0,1,,Gold,49188
Female,Urban,High School,2.07,1,8,0.0,More than 1,B,Platinum,68520
Male,,Bachelor,6.69,1,8,,1,A,Platinum,103332
Male,Rural,Bachelor,9.92,1,2,3377.0,More than 1,B,Silver,52068
Male,Urban,High School,5.32,1,3,10442.0,More than 1,A,Platinum,111408
Male,Urban,Bachelor,7.4,0,1,3437.0,1,A,Silver,32064
Male,Urban,Bachelor,66.48,1,6,5535.0,1,A,Gold,33756
Male,Rural,High School,26.71,1,3,0.0,More than 1,B,Platinum,68700
Male,Urban,Bachelor,3.96,1,5,9160.0,More than 1,B,Gold,436008
Female,Urban,Bachelor,9.94,0,6,,More than 1,A,Platinum,100260
Male,Rural,High School,8.8,0,1,4197.0,1,B,Platinum,36096
Male,Urban,High School,2.63,1,8,0.0,More than 1,A,Platinum,32316
Female,,Bachelor,9.6,1,7,3991.0,1,,Silver,49608
Male,Rural,Bachelor,8.45,1,7,2573.0,More than 1,A,Platinum,64164
Male,Urban,Bachelor,3.36,0,7,3829.0,More than 1,B,Platinum,367404
Male,Rural,High School,33.07,1,1,0.0,1,A,Platinum,35928
Male,Urban,Bachelor,20.09,0,4,3402.0,1,A,Platinum,46068
Male,Rural,Bachelor,8.33,1,7,2554.0,1,A,Silver,62508
Male,Urban,High School,7.67,1,4,10405.0,More than 1,A,Platinum,76956
Female,Urban,High School,8.56,1,6,,1,A,Platinum,47784
Male,Rural,High School,79.99,1,5,0.0,More than 1,B,Platinum,62172
Female,Rural,High School,7.61,1,5,0.0,1,A,Platinum,32400
Female,Urban,Bachelor,4.54,0,4,5913.0,1,C,Platinum,43776
Female,Urban,High School,8.87,1,3,6565.0,More than 1,A,Platinum,104784
Female,Rural,Bachelor,,1,7,0.0,More than 1,B,Platinum,100824
Male,Urban,High School,9.19,0,5,8860.0,More than 1,A,Platinum,93552
Female,Urban,Bachelor,5.18,1,2,,More than 1,B,Gold,99252
Male,Rural,High School,9.73,1,7,2415.0,More than 1,,Silver,103632
Male,Urban,Bachelor,7.85,1,1,6854.0,1,A,Silver,30000
Male,Rural,High School,90.98,1,4,2677.0,More than 1,B,Platinum,64020
Female,Urban,High School,4.36,1,5,6942.0,More than 1,A,Platinum,96336
Female,Urban,Bachelor,2.87,0,6,,1,B,Silver,32004
Male,,Bachelor,9.17,0,5,7328.0,1,A,Platinum,47232
Male,Urban,High School,3.13,1,6,8521.0,More than 1,A,Silver,113124
Male,Rural,High School,9.66,0,1,0.0,More than 1,C,Platinum,89760
Female,Rural,High School,5.07,0,5,4514.0,1,A,Silver,33468
Female,Urban,Bachelor,9.54,1,7,3797.0,More than 1,B,Gold,163644
Female,Urban,High School,2.88,0,6,5319.0,More than 1,A,Platinum,327084
Female,Urban,High School,8.19,0,8,6767.0,1,A,Platinum,51132
Female,Urban,High School,3.21,0,7,9697.0,More than 1,B,Platinum,107364
Female,Rural,High School,6.17,0,6,5024.0,More than 1,A,Gold,164232
Male,Urban,Bachelor,7.39,1,5,3301.0,More than 1,B,Platinum,61764
Female,Urban,Bachelor,2.71,1,7,4704.0,More than 1,A,Gold,296700
Male,Urban,Bachelor,6.7,1,7,5803.0,More than 1,B,Platinum,111780
Male,Urban,Bachelor,6.5,1,2,0.0,More than 1,,Gold,57516
Female,Rural,Bachelor,7.68,1,3,2654.0,More than 1,A,Silver,103404
Male,Rural,Bachelor,7.76,0,8,6420.0,More than 1,B,Platinum,106908
Female,,Bachelor,2.44,0,6,6236.0,More than 1,B,Platinum,111156
Male,Rural,Bachelor,,1,7,2789.0,1,A,Platinum,32784
Female,Rural,High School,6.05,0,2,,1,,Platinum,44784
Male,Urban,Bachelor,3.93,0,4,10741.0,More than 1,A,Silver,334200
Female,Urban,Bachelor,2.1,1,3,6968.0,1,A,Silver,34248
Female,Urban,High School,62.34,0,3,8819.0,More than 1,C,Silver,181140
Female,Rural,High School,5.8,1,4,2157.0,More than 1,B,Silver,69600
Male,Urban,High School,77.89,1,4,4917.0,More than 1,A,Platinum,57720
Male,Urban,High School,9.47,0,4,6060.0,1,A,Silver,41328
Male,Urban,High School,6.51,1,2,7614.0,More than 1,A,Platinum,67872
Female,Rural,High School,59.23,0,6,3719.0,More than 1,C,Silver,169752
Male,Urban,Bachelor,7.32,0,2,4440.0,More than 1,A,Platinum,102864
Male,Urban,High School,8.36,1,7,6594.0,1,B,Silver,69648
Female,Urban,Bachelor,5.79,0,3,5332.0,More than 1,A,Gold,62556
Male,Urban,High School,65.08,0,1,2083.0,1,A,Platinum,31320
Male,Rural,Bachelor,15.0,1,6,0.0,1,B,Silver,33408
Female,Urban,High School,1.22,1,6,4904.0,More than 1,A,Platinum,59856
Male,Urban,Bachelor,9.8,1,1,0.0,More than 1,A,Gold,185736
Female,Urban,High School,78.87,0,6,5405.0,1,A,Platinum,55284
Male,Urban,Bachelor,9.38,1,7,3703.0,More than 1,A,Platinum,84396
Male,Rural,High School,6.16,1,5,0.0,More than 1,B,Platinum,111528
Male,Rural,Bachelor,5.97,0,8,,More than 1,A,Gold,52116
Female,Urban,Bachelor,6.77,1,4,6160.0,1,A,Platinum,36480
Male,Urban,Bachelor,3.48,1,4,,More than 1,A,Platinum,244392
Male,,High School,9.08,1,6,3446.0,1,A,Gold,69120
Male,Urban,High School,5.93,1,0,8460.0,More than 1,A,Platinum,104928
Female,,Bachelor,98.48,0,7,6238.0,More than 1,B,Platinum,176832
Female,Rural,Bachelor,2.6,0,6,6197.0,More than 1,,Platinum,96864
Male,Urban,Bachelor,7.82,1,3,3215.0,More than 1,A,Gold,99432
Male,Urban,Bachelor,5.23,0,1,3790.0,More than 1,A,Platinum,249864
Female,Urban,Bachelor,2.62,1,7,5511.0,More than 1,B,Platinum,97932
Female,Urban,High School,4.32,0,3,6397.0,More than 1,,Silver,63444
Female,Rural,High School,4.54,0,6,2171.0,More than 1,C,Platinum,65592
Female,Rural,High School,52.74,1,3,0.0,More than 1,A,Gold,65592
Male,Urban,High School,3.53,0,2,3754.0,More than 1,A,Platinum,250728
Female,Urban,High School,,0,1,5019.0,More than 1,B,Platinum,61536
Female,Rural,High School,44.02,1,2,2195.0,More than 1,B,Silver,67956
Male,Urban,Bachelor,24.09,0,3,3913.0,More than 1,A,Gold,66768
Female,Urban,Bachelor,8.43,1,4,3399.0,More than 1,A,Gold,63576
Female,Urban,High School,5.6,1,5,3785.0,More than 1,A,Platinum,68952
Female,Rural,High School,7.66,0,6,,More than 1,B,Platinum,73044
Female,Urban,Bachelor,9.14,0,5,7879.0,More than 1,A,Gold,56196
Female,Urban,High School,3.95,1,4,5379.0,1,A,Platinum,31836
Male,Rural,High School,9.9,1,7,2522.0,1,A,Platinum,33648
Female,Urban,High School,3.53,1,5,4063.0,1,A,Gold,34416
Female,Urban,High School,7.97,0,6,6521.0,1,A,Gold,35352
Male,Urban,High School,3.67,0,8,7286.0,More than 1,A,Silver,101916
Male,Urban,High School,19.13,0,6,9224.0,More than 1,A,Gold,286212
Male,Rural,High School,5.95,0,4,0.0,More than 1,B,Platinum,62472
Male,Rural,High School,4.73,0,7,3813.0,More than 1,B,Platinum,62772
Female,Rural,Bachelor,9.26,0,7,0.0,More than 1,B,Platinum,67740
Male,Urban,Others,5.55,0,2,2703.0,More than 1,,Silver,60372
Male,,High School,7.87,1,6,5874.0,More than 1,B,Gold,68760
Male,,Bachelor,7.45,0,7,0.0,More than 1,B,Platinum,69336
Female,,Bachelor,7.82,1,5,2065.0,More than 1,,Gold,117312
Male,Urban,High School,8.35,1,1,0.0,More than 1,C,Gold,70044
Male,Urban,Bachelor,9.97,1,8,2863.0,1,A,Platinum,55776
Female,Urban,High School,4.74,1,3,6982.0,More than 1,B,Platinum,63612
Female,Urban,Bachelor,7.98,1,8,5616.0,1,A,Silver,49860
Male,Rural,High School,8.48,0,6,2732.0,More than 1,A,Platinum,57240
Male,Urban,High School,5.71,1,5,6051.0,More than 1,A,Platinum,66264
Male,Urban,High School,,1,6,0.0,More than 1,B,Platinum,96456
Female,Urban,High School,7.03,0,7,4184.0,More than 1,A,Gold,65772
Female,Urban,Bachelor,5.82,1,5,5735.0,More than 1,A,Platinum,67428
Female,Rural,High School,8.08,0,5,5011.0,More than 1,A,Platinum,66636
Female,Urban,Others,5.06,0,1,3713.0,More than 1,A,Platinum,60612
Male,Urban,Bachelor,8.24,1,6,0.0,1,B,Silver,32760
Male,Rural,Bachelor,8.42,1,7,3309.0,1,A,Gold,43008
Female,Urban,Bachelor,9.36,1,8,4028.0,1,A,Gold,49080
Male,,High School,2.42,1,6,4549.0,1,B,Silver,38844
Male,Urban,High School,7.65,1,3,5715.0,More than 1,A,Gold,63204
Female,Urban,Bachelor,0.52,0,3,5993.0,More than 1,A,Silver,67740
Female,Urban,Bachelor,7.35,1,4,6022.0,More than 1,A,Gold,44244
Female,Urban,Bachelor,6.27,1,6,2027.0,1,A,Platinum,34548
Female,Urban,High School,18.56,1,5,0.0,1,B,Platinum,35940
Male,Urban,High School,9.14,1,3,7571.0,More than 1,A,Platinum,94440
Female,Urban,Bachelor,3.96,0,5,5243.0,More than 1,A,Platinum,105612
Male,Urban,Bachelor,5.4,1,8,9816.0,More than 1,A,Gold,125256
Female,Urban,High School,92.4,1,2,5287.0,1,A,Platinum,63252
Female,Urban,High School,8.58,1,5,6885.0,1,B,Gold,55596
Male,Urban,High School,8.99,0,7,4876.0,More than 1,A,Platinum,62496
Female,Urban,Bachelor,,0,0,3400.0,More than 1,A,Platinum,69756
Male,Rural,Bachelor,9.24,1,4,0.0,1,C,Silver,34860
Female,Urban,High School,7.67,0,0,5304.0,More than 1,A,Platinum,91848
Male,Rural,High School,44.2,1,3,4214.0,1,A,Gold,34812
Female,Urban,High School,3.59,0,7,10241.0,More than 1,A,Platinum,96288
Female,Urban,Bachelor,9.37,0,7,3254.0,More than 1,A,Gold,95112
Male,Urban,High School,8.57,0,6,2735.0,More than 1,B,Silver,144708
Male,Urban,High School,6.09,0,5,9754.0,More than 1,A,Silver,457680
Male,Urban,High School,2.66,1,6,3062.0,1,C,Platinum,33012
Male,Rural,High School,48.52,1,7,0.0,More than 1,B,Platinum,63744
Female,Urban,High School,16.11,0,3,3325.0,More than 1,A,Gold,113568
Male,Rural,High School,7.78,1,1,2023.0,1,A,Silver,38076
Female,Urban,High School,4.4,1,7,2596.0,More than 1,B,Platinum,99432
Female,Urban,Bachelor,9.72,1,5,3877.0,More than 1,A,Platinum,64332
Male,Urban,High School,,0,5,2599.0,More than 1,A,Platinum,108984
Female,Urban,High School,6.53,1,2,6550.0,1,A,Gold,42672
Female,Urban,High School,6.92,0,2,5523.0,More than 1,A,Platinum,90072
Female,Urban,Bachelor,9.04,1,3,7620.0,More than 1,A,Platinum,303636
Female,Rural,High School,6.76,1,8,0.0,More than 1,C,Silver,104472
Female,Rural,High School,4.66,0,5,0.0,More than 1,B,Silver,68292
Male,Rural,High School,5.12,1,2,2382.0,More than 1,A,Platinum,64248
Female,Urban,Bachelor,2.49,1,1,3652.0,More than 1,A,Silver,68088
Male,Urban,High School,7.44,0,8,7889.0,More than 1,A,Platinum,56436
Female,Rural,Bachelor,5.87,1,8,0.0,More than 1,B,Platinum,64704
Female,,High School,9.89,0,6,4531.0,More than 1,A,Platinum,102672
Male,Urban,Bachelor,,1,2,2752.0,More than 1,A,Gold,50832
Female,Rural,High School,6.55,0,8,,More than 1,B,Platinum,69840
Male,Rural,High School,5.87,0,8,4004.0,1,B,Gold,32484
Male,,High School,3.6,1,6,4920.0,More than 1,A,Platinum,65292
Male,Rural,High School,5.05,1,6,,More than 1,,Platinum,100428
Female,Rural,Bachelor,5.01,0,6,0.0,1,B,Silver,46944
Male,Rural,Bachelor,9.69,0,0,0.0,1,B,Silver,60228
Female,Urban,High School,,1,2,4239.0,1,B,Platinum,66684
Male,Urban,High School,2.37,1,8,2916.0,More than 1,B,Gold,283812
Female,Rural,High School,8.95,1,5,2293.0,1,B,Platinum,36732
Male,Urban,High School,3.4,0,7,7404.0,1,C,Platinum,52272
Female,Urban,Bachelor,3.21,0,4,3296.0,More than 1,B,Silver,67596
Female,Urban,High School,8.48,0,8,9069.0,More than 1,B,Silver,192192
Female,Urban,High School,4.5,0,1,6415.0,More than 1,A,Platinum,66336
Male,Rural,Bachelor,95.81,0,7,4392.0,More than 1,B,Platinum,63912
Male,Rural,High School,6.18,0,0,5804.0,1,A,Silver,35844
Male,Rural,Bachelor,7.19,1,4,2398.0,1,B,Platinum,57648
Female,Rural,Bachelor,,1,8,2695.0,More than 1,A,Silver,72924
Male,Urban,High School,6.12,1,7,11913.0,More than 1,A,Gold,263040
Male,,High School,5.29,1,2,4760.0,1,,Platinum,31560
Male,Urban,High School,5.02,1,0,,1,A,Gold,53772
Male,Rural,High School,7.95,1,4,4563.0,More than 1,A,Gold,117696
Male,Urban,Bachelor,5.48,1,5,3781.0,More than 1,A,Gold,103704
Male,Rural,Bachelor,9.5,0,6,5762.0,1,A,Gold,33672
Female,Urban,High School,6.27,1,5,18411.0,More than 1,A,Gold,60444
Female,Urban,Bachelor,57.76,0,3,9204.0,More than 1,A,Silver,331896
Male,Urban,Bachelor,47.07,0,7,0.0,More than 1,A,Platinum,96816
Female,Rural,High School,5.1,0,6,11819.0,More than 1,A,Silver,67500
Male,Urban,Others,9.73,0,6,4411.0,1,B,Silver,162672
Male,Rural,High School,4.29,1,7,2369.0,More than 1,B,Platinum,40920
Male,Rural,High School,5.88,1,4,0.0,More than 1,,Silver,92796
Female,Urban,High School,7.39,0,8,3174.0,More than 1,B,Platinum,113664
Male,Rural,Bachelor,6.53,1,3,0.0,More than 1,B,Silver,57912
Male,Urban,Bachelor,9.45,1,6,6385.0,More than 1,A,Platinum,357624
Female,Urban,High School,30.55,0,8,4070.0,More than 1,B,Silver,93984
Female,Rural,High School,7.82,1,1,0.0,1,A,Silver,34164
Male,Urban,High School,8.65,1,7,4285.0,More than 1,B,Gold,73104
Female,Urban,High School,2.35,1,0,3546.0,More than 1,A,Gold,61008
Female,Urban,High School,4.04,0,6,2825.0,1,A,Gold,46152
Male,Urban,Others,7.35,1,6,3953.0,1,,Platinum,30180
Male,Urban,High School,8.16,1,4,7583.0,More than 1,A,Gold,163008
Male,Urban,Bachelor,7.7,1,7,0.0,1,A,Silver,56976
Female,Urban,Bachelor,3.29,1,5,5523.0,1,B,Platinum,64128
Female,Urban,High School,6.32,0,5,4035.0,1,B,Gold,36144
Female,Urban,High School,7.82,1,1,3364.0,More than 1,,Silver,93672
Female,Rural,High School,8.65,0,6,7350.0,1,B,Gold,36480
Female,Rural,High School,,1,6,,More than 1,A,Gold,68268
Male,Urban,Others,2.02,1,5,4156.0,1,A,Platinum,31788
Male,Urban,High School,6.86,1,6,0.0,More than 1,B,Gold,109416
Female,Urban,Bachelor,3.41,0,0,5250.0,More than 1,A,Platinum,45012
Female,Urban,High School,4.75,1,6,4020.0,1,A,Platinum,33528
Female,Urban,Bachelor,6.66,1,6,6094.0,1,,Platinum,229884
Male,Urban,Bachelor,97.82,1,8,5890.0,More than 1,A,Gold,225360
Female,Rural,High School,8.09,1,4,2462.0,More than 1,A,Platinum,69372
Male,,High School,4.73,1,2,5981.0,1,A,Platinum,36084
Male,Urban,High School,5.21,0,6,2826.0,More than 1,B,Platinum,107436
Female,Urban,Others,5.23,1,2,2660.0,1,B,Silver,78744
Female,,High School,,1,0,0.0,More than 1,A,Silver,104784
Female,Rural,Bachelor,9.85,1,3,0.0,1,C,Silver,35172
Female,Urban,Bachelor,6.14,0,6,4158.0,1,A,Platinum,52092
Male,Urban,Bachelor,59.7,1,5,6115.0,1,A,Silver,38604
Male,Urban,Bachelor,2.82,0,6,12501.0,1,B,Silver,66444
Female,Urban,High School,7.24,1,5,6680.0,1,A,Platinum,51288
Male,Urban,High School,6.29,1,6,3759.0,1,,Platinum,34956
Male,Rural,Bachelor,7.41,0,2,0.0,1,C,Platinum,31752
Male,Urban,Bachelor,7.21,0,7,6284.0,1,B,Platinum,35568
Male,Urban,High School,8.78,1,4,5841.0,1,,Gold,69240
Female,Urban,Bachelor,2.38,0,6,8347.0,More than 1,A,Platinum,301620
Female,Urban,Bachelor,0.87,1,2,4231.0,More than 1,A,Platinum,288828
Female,Urban,Bachelor,6.36,0,6,8485.0,1,A,Platinum,236076
Male,Urban,High School,6.1,0,1,6671.0,More than 1,A,Platinum,65184
Male,Urban,High School,3.64,0,3,6265.0,1,,Silver,32544
Female,Rural,High School,7.36,1,4,,More than 1,A,Platinum,66324
Female,Urban,High School,9.09,0,4,18553.0,More than 1,A,Platinum,259416
Male,Urban,High School,4.37,1,7,7315.0,1,B,Silver,60672
Female,Urban,High School,6.91,1,5,3302.0,More than 1,A,Platinum,70284
Male,Urban,High School,2.23,1,6,,More than 1,A,Platinum,328824
Male,Urban,High School,8.74,1,4,5631.0,More than 1,A,Platinum,182580
Female,Urban,Others,3.11,1,4,6305.0,More than 1,B,Silver,66636
Female,Urban,High School,9.88,1,5,6482.0,1,A,Platinum,237900
Female,Urban,High School,4.48,0,7,4213.0,More than 1,A,Platinum,61440
Male,Urban,High School,7.26,1,4,2538.0,More than 1,A,Platinum,107616
Male,Rural,High School,5.31,1,4,0.0,1,A,Silver,59604
Male,Urban,Bachelor,3.11,1,5,4022.0,More than 1,A,Platinum,102048
Male,Urban,High School,9.12,0,5,3511.0,More than 1,A,Platinum,135972
Female,Urban,Bachelor,2.03,0,3,9394.0,More than 1,A,Silver,64320
Male,Urban,Bachelor,7.86,1,6,9581.0,More than 1,B,Platinum,97704
Male,Rural,Bachelor,9.22,1,8,0.0,1,,Platinum,50088
Male,,High School,4.05,1,0,0.0,More than 1,B,Silver,64428
Male,Urban,Bachelor,7.35,0,6,9037.0,More than 1,A,Silver,311796
Female,Urban,High School,8.11,1,5,2753.0,More than 1,B,Gold,52920
Male,Urban,High School,9.42,1,1,7266.0,More than 1,A,Platinum,156756
Female,Urban,High School,5.66,0,7,11658.0,More than 1,A,Silver,63036
Female,Rural,Bachelor,43.65,1,3,5289.0,1,A,Platinum,35532
Female,Urban,High School,3.07,1,5,3614.0,More than 1,A,Silver,64092
Female,Rural,High School,27.69,1,4,2768.0,More than 1,B,Platinum,33744
Female,Rural,High School,8.15,0,8,2043.0,More than 1,B,Platinum,69456
Female,Rural,High School,5.49,0,8,,More than 1,B,Gold,72624
Male,Rural,Bachelor,3.18,1,7,0.0,More than 1,,Platinum,102072
Male,Rural,High School,7.42,1,7,2901.0,1,B,Gold,68544
Male,Urban,High School,4.07,0,3,5706.0,More than 1,A,Platinum,58224
Female,Rural,Bachelor,19.76,0,0,2182.0,More than 1,A,Platinum,66576
Female,Rural,High School,11.35,0,2,3644.0,More than 1,A,Silver,71364
Male,Rural,High School,9.72,0,1,,1,A,Gold,30588
Female,Rural,High School,90.69,0,8,0.0,1,B,Silver,36744
Male,,Bachelor,30.34,1,6,0.0,1,A,Platinum,61080
Male,Rural,Bachelor,6.52,1,1,2410.0,1,C,Platinum,29988
Male,Urban,Bachelor,99.79,1,4,6002.0,1,,Platinum,56364
Female,Urban,Bachelor,8.05,0,6,5621.0,1,A,Silver,98580
